,Person,<=10_10-20,<=10_20-30,<=10_30-40,<=10_40-50,<=10_50-60,<=10_60-70,10-20_20-30,10-20_30-40,10-20_40-50,10-20_50-60,10-20_60-70,20-30_30-40,20-30_40-50,20-30_50-60,20-30_60-70,30-40_40-50,30-40_50-60,30-40_60-70,40-50_50-60,40-50_60-70,50-60_60-70,<=10_70+,10-20_70+,20-30_70+,30-40_70+,40-50_70+,50-60_70+,60-70_70+
45,69,,,,,,,,,,,,0.33771000000000007,0.38441111111111115,0.3514857142857143,,0.28614222222222224,0.2511985714285714,,0.370704761904762,,,,,,,,,
46,542,,,,,,,,,,,,0.3804547619047619,0.2596033333333333,0.23491666666666666,0.16198333333333334,0.2985857142857143,0.2790571428571429,0.2657714285714286,0.29598,0.26058,0.2471,,,0.19422777777777778,0.34245714285714285,0.2713933333333334,0.2429,0.49033333333333334
47,390,,,,,,,0.4035333333333333,0.3547125,0.4325571428571428,0.45080000000000003,,0.3537333333333333,0.38525476190476193,0.3918166666666667,,0.4027,0.415734375,,0.5380785714285715,,,,,,,,,
48,270,,,,,,,,,,,,0.3963533333333333,0.39453333333333335,0.46831666666666666,0.44347999999999993,0.35713999999999996,0.39411500000000005,0.365064,0.48806249999999995,0.41556,0.513965,,,0.45257777777777775,0.38982,0.4372833333333334,0.565775,0.5854266666666665
49,323,,,,,,,,0.4079625,0.34461666666666674,0.2837,,,,,,0.459225,0.37067500000000003,,0.39159999999999995,,,,0.3266125,,0.32993125,0.33545833333333336,0.39152499999999996,
50,36,,,,,,,,,,,,0.31737037037037036,0.31202666666666673,0.2708566666666667,0.23904999999999996,0.3633488888888889,0.3236588888888889,0.32188333333333324,0.530222,0.52817,0.5585683333333333,,,,,,,
51,357,,,,,,,0.24136666666666665,0.15517777777777775,,,0.17478888888888888,0.21168166666666668,,,0.19555833333333336,,,0.18006388888888888,,,,,0.13776666666666668,0.18456,0.18345,,,0.38935000000000003
52,137,,,,,,,,,,,,0.34989444444444445,0.33372222222222225,0.32630714285714285,0.3236333333333334,0.3919740740740741,0.41627142857142857,0.4000148148148148,0.4843666666666666,0.47573333333333345,0.6234476190476191,,,,,,,
53,30,,,,,,,0.3138844444444445,0.2220133333333333,0.19965333333333335,0.18949000000000005,0.13488,0.2656876543209876,0.23416172839506172,0.22545555555555558,0.1457388888888889,0.2868345679012345,0.22475925925925927,0.1386,0.347375925925926,0.2229,0.35356666666666664,,,,,,,
54,126,,,,,,,,,,,,0.3618,0.43610000000000004,0.37538571428571427,0.2870375,0.43675555555555556,0.3318126984126984,0.26376805555555555,0.47655,0.39890625,0.4278410714285715,,,0.35397999999999996,0.2962577777777778,0.36228,0.4733371428571428,0.44688999999999995
55,272,,,,,,,,,,,,0.27650972222222225,0.3239171875,,,0.39367916666666664,,,,,,,,,,,,
