,Person,<=10,10-20,20-30,30-40,40-50,50-60,60-70,70+
222,336,,,0.557,0.416866667,0.411316667,0.414096429,0.369473333,
223,428,,0.20392,0.4932,0.34258,,0.590666667,0.1134,
224,186,,,,,,,0.343983333,0.4979
225,384,,,,0.5215,,0.2454,0.311,0.242166667
226,14,,0.4217,0.217033333,0.342042857,0.3764,0.3166,,
227,542,,,0.41642,0.429690476,0.50069,,,0.401533333
228,38,,,0.415561905,0.27434,0.321457143,0.362424444,,
229,463,,,0.5159,,0.4667,0.417916667,,
230,82,,,0.4485,0.294433333,0.478783333,0.5375,0.390583333,0.441455128
231,73,,,0.219606667,0.264616667,0.44311,,,
232,474,,,,0.247742857,0.308033333,0.484272222,0.44353,
233,44,,0.2366,0.240513333,0.2165,0.347966667,0.4924,,
234,291,,,0.6432,0.39344,0.32096,,0.257233333,
235,404,,0.4308,0.438838889,0.519957143,0.406533333,0.362,0.385633333,0.4858
236,9,,,0.408364286,0.3123,0.588090476,0.57742,,
237,29,,,0.21557,0.330566667,0.254716667,0.310933333,0.15214,0.355266667
238,108,,,,0.262021429,0.0884,0.3418,0.33857,0.499866667
239,409,,,0.338706667,0.45007619,0.498257143,0.5463,,
240,130,,,0.40862,0.359393333,0.3742,0.50782381,0.333183333,
241,287,,,,0.287960714,0.249230556,0.471867857,,
242,532,,,0.241139286,0.387383333,0.237366667,0.534788889,,
243,262,,0.2875,0.414966667,0.391373333,0.523585714,0.498733333,,
244,365,,,0.4578,0.396983333,0.464033333,,0.2726,0.4232
245,407,,,0.282666667,0.431,0.383766667,0.357566667,,0.468016667
246,273,,0.2555,0.375180952,0.338616667,,,,0.234283333
247,62,,0.163316667,0.203766667,0.360446667,0.354475,0.541866667,0.40737,0.252066667
248,172,,,0.4787,0.27656,0.3596,0.32648,0.279,
249,453,,,0.36716,0.191090476,0.170261905,0.205,0.378433333,0.340053333
250,289,,,0.317942857,0.25858,0.32515,0.379183333,,
251,337,,,,0.3858,0.3915,0.320566667,0.4677,
252,387,,,0.35369,0.198282143,0.350638095,0.3072,0.30172,
253,489,,,,0.5005,0.399066667,0.394766667,0.358966667,0.398183333
254,478,,,0.42335,0.381213889,0.44036,0.5301,0.333266667,0.490180952
255,352,,,0.201617857,0.28808,0.357666667,,,0.205166667
256,124,,,,,,0.3995,0.1734,0.366338095
257,492,,,0.39978,0.29436,0.26282,0.392566667,0.6798,0.616991667
258,539,,,,0.0919,0.235666667,,0.422,0.313933333
259,105,,,0.24438,0.301085714,0.306703571,0.3618,0.267313333,
260,512,,,0.281883333,0.183333333,0.194466667,0.47286,0.710883333,
