,Person,<=10,10-20,20-30,30-40,40-50,50-60,60-70,70+
250,461,,,0.454033333,0.372933333,0.294226667,0.415146667,0.3799,0.265966667
251,280,,0.0324,0.415633333,0.38011,0.298483333,0.54152,,
252,502,,,0.404633333,0.421738095,0.415757143,0.22465,0.365327778,0.5585
253,315,,0.1579,0.380066667,0.297633333,0.208866667,0.4602,0.37483,0.7262
254,151,,,0.40765,0.428447619,0.232683333,0.3428,,
255,340,,,0.242133333,0.471797222,0.304338095,0.290366667,,
256,198,,,,0.462893333,0.796486667,0.646533333,0.9514,
257,322,,,0.280446429,0.0304,,,,
258,26,,,0.261828889,0.258625,0.234033333,0.8813,0.25605,0.556093333
259,44,,0.4149,0.253586667,0.0297,0.287666667,0.189966667,,
260,533,,,0.327636111,0.39421,0.507433333,0.37614,0.55824,0.58975
261,5,,,0.34216,0.289590476,0.464680952,0.4211,,0.668453571
262,168,,,,0.1234,0.358266667,0.2678,0.2053,0.3374
263,409,,,0.3361,0.588609524,0.476685714,0.666426667,,
264,159,,,0.535473333,0.58258,0.589066667,,0.7186,0.607535714
265,361,,,0.3403,0.470160714,0.3939,,,
266,358,0.456933333,0.507466667,0.295583333,0.3716,0.5717,0.6292,0.44075,
267,425,,0.2359,0.39476,0.561733333,,,0.417066667,
268,127,,,,0.240866667,0.390035714,0.34388,0.33492,
269,106,,,,,,,0.6076,0.504133333
270,166,,,,0.333133333,,,,0.3785
271,342,,,0.309216667,0.293946667,0.2456,0.33674,0.629066667,
272,385,,0.438416667,,0.394466667,,,,
273,474,,,,0.478467857,0.522780952,0.856188889,0.40737,
274,7,,,0.330071429,0.257303571,0.36729,0.4279,0.440306667,0.572338095
275,181,,,0.428466667,0.618973333,0.471757143,0.78211,,
276,242,,,0.5618,0.582182143,0.601471429,0.591010714,0.601616667,
277,36,,,0.255433333,0.337941667,0.51235,0.610791111,0.565986667,
278,191,,,0.1796,0.2458,0.340780952,0.386166667,,
279,207,,,0.34962,0.432,0.378516667,,,0.301
280,93,,,,0.397194444,0.3254,0.5688,0.4731,0.4724
281,78,,,0.4466,0.516195238,0.606716667,0.28093,0.1394,0.500183333
282,34,,,0.432913333,0.214663889,0.510033333,0.3183,0.397266667,
283,374,,,0.311544444,0.393391667,0.514617778,0.554133333,,
284,493,,0.308433333,0.41155,,0.4839,0.2959,0.7085,0.6642
285,18,,,0.358255556,0.336652778,0.267733333,0.369373333,,
286,346,,,0.467966667,0.359921429,0.228633333,0.27497,0.364766667,0.7086
287,510,,,0.4485,0.47123,0.4191,0.4503,0.536067857,0.707228571
288,463,,,0.6762,,0.4728,0.385183333,,
289,97,,,0.4732,,0.5337,0.5807,,0.47911
290,371,,,0.371614286,0.377708889,0.382953333,0.432,0.34479,0.53229
291,11,,,,0.449766667,0.317733333,0.2422,,
292,546,,0.2332,0.404746667,0.4049,0.27805,,,
293,223,,,,0.4048,0.30597,0.25195,0.56572381,0.29381
294,442,,0.1134,0.24689,0.390966667,0.672093333,0.732483333,,
295,428,,0.24892,0.5163,0.27057,,0.67125,0.3279,
296,162,,,0.22675,0.255885714,0.500266667,0.61228,0.633033333,
297,232,,,0.402553333,0.405566667,,,0.8337,0.495128889
298,17,,0.0673,0.498366667,0.357566667,0.512783333,,0.50816,
299,169,,0.535,0.244821429,0.3512,0.2877,0.406266667,0.617013333,
300,96,,,0.3532,0.46698,0.568816667,,,
301,24,,0.156433333,,,0.62335,0.447414286,,
302,240,,,0.621533333,0.505582143,0.446566667,0.368066667,0.7189,0.366664286
303,25,,,0.338266667,0.268272222,0.480368889,0.47784,0.357393333,0.558619444
304,52,,,0.3387,0.5867,0.413833333,,,0.423433333
305,251,,,0.362761905,0.393767857,0.532833333,0.2676,0.2787,0.633006667
306,218,,,0.40455,0.340693333,0.30397619,0.283847619,0.227321429,0.487445455
307,276,,,0.542286667,0.284533333,0.317,,0.42295,0.582783333
308,355,,,0.3727,,,0.4423,0.3407,0.41439
309,0,,,,,,0.486135556,0.435910714,0.540402857
310,259,,0.1929,0.321,0.597046667,0.4657,,,
311,313,,,0.5492,0.39212,0.613339286,0.66554,,
312,180,,,0.4614,0.476766667,,0.355533333,,
313,378,,,0.358,0.4197,0.203919444,0.277216667,0.476033333,
314,186,,,,,,,0.519783333,0.630133333
315,83,,,0.2408,0.344952381,0.362726667,0.434066667,0.335561905,0.258166667
316,501,,0.5368,,0.52635,0.53242,0.563433333,0.4059,
317,107,,,0.57166,0.328726667,0.52723,0.697980952,,
318,165,,,0.4147,0.530406667,0.519016667,0.478666667,0.5837,0.421
319,316,,,0.3619,0.033,0.32408,0.27213,0.571266667,
320,89,,0.44405,0.342713889,0.346727778,0.443113889,,,
321,492,,,0.331746667,0.3227,0.30979,0.5057,0.644616667,0.696513889
322,558,,,0.410716667,0.499753333,0.377764286,0.343033333,0.251693333,0.481367857
323,540,,,,,0.86493,0.273933333,0.0371,0.335846667
324,531,,,0.54011,0.3291,0.559613889,0.394675,,
325,314,,0.4336,0.374797222,0.278273333,0.261366667,0.551383333,0.54736,0.67568
326,362,,,0.452193333,0.373717857,0.46257619,0.29179,0.67225,
327,418,,,0.295233333,0.525533333,0.4347,,0.5299,
328,77,,,0.163933333,0.519116667,,,,0.980433333
329,28,,0.2818,0.6467,0.494706667,0.2003,0.368566667,0.3278,0.565633333
330,337,,,,0.1669,0.219,0.3304,0.4576,
331,450,,,0.25965,0.449142857,,0.3495,0.6589,0.629033333
332,35,,0.209166667,0.343755556,0.276726667,0.713533333,0.622226667,0.259433333,0.509166667
333,203,,0.291833333,0.300744444,,0.46185,,,
334,98,,,,0.307304762,0.47294,0.226071429,0.266790476,0.22744
335,46,,0.2711,0.283646667,0.269621429,0.285433333,0.37191,0.604997222,
336,475,,,,0.347833333,0.30555,0.4916,,0.445338889
337,79,,0.4552,0.363525,0.449357143,0.29108,0.312666667,0.639247619,
338,144,,0.967,0.585266667,0.5473,0.3456,,,0.7944
339,372,,0.6313,0.393203571,0.234673333,,,,0.52267619
340,557,,,0.295928571,0.37911,0.3295,0.296910714,0.2814,
341,430,,,,,,0.6967,0.279553333,0.309316667
342,103,,,,0.2029,,,,0.526083333
343,64,,,0.238180952,0.575253333,0.513328571,0.721766667,,
344,253,,,0.399806667,0.333810714,0.34656,0.497766667,,
345,344,,,0.221083333,0.536766667,0.492113333,0.35315,0.6627,
346,285,,,0.488228571,0.543686667,0.434053333,0.29995,,
347,43,,0.0156,0.337942857,0.397478571,0.0729,0.601766667,0.6249,
348,197,,,0.1685,0.432609524,0.32935,0.534166667,0.425533333,0.6946
349,551,,,0.38177,0.535366667,0.6858,,,
350,521,,,0.349566667,0.3686,0.3304,,,
351,270,,,0.4624,0.32817,0.2214,0.56425,0.51988,0.7664
352,183,,,,0.269466667,0.48565,0.50359,,0.50372
353,61,,,,0.381866667,0.365138095,0.377036111,0.5442,
354,296,,,,,,0.250166667,,0.4373
355,48,,,0.328928571,0.358386667,0.519666667,0.636133333,0.61144,
356,206,,,0.2811,0.57137,0.375783333,0.459466667,0.2516,0.28645
357,527,,,0.30435,0.401686667,0.43187619,0.652295556,0.593964286,
358,423,,,0.6084,0.535433333,0.46815,0.490213333,,
359,221,,,0.0921,0.298727778,0.417133333,0.27628,0.406696429,0.449542222
360,167,,,,,,,0.251533333,0.602
361,27,,0.062866667,0.122566667,0.452266667,0.389153333,0.738536111,0.580433333,
362,247,,0.47407,0.298933333,0.22425,0.47778,0.553539286,0.65736,0.509136364
363,365,,,0.4308,0.458466667,0.4417,,0.5363,0.4059
364,458,,0.2666,,,,,,0.577628571
365,68,,,,0.0308,0.425795556,0.44078,0.421391667,0.641916667
366,2,,,0.0383,,0.414766667,0.6341,0.4962,0.0436
367,293,,,,0.458114286,0.24055,0.32087619,0.604542857,0.560533333
368,9,,,0.403146429,0.35953,0.757809524,0.59698,,
369,350,,,,0.567192857,0.485326667,0.5937,,
370,301,,0.334666667,0.753133333,0.889328571,,,,
371,544,,,0.2708,0.38862,0.359583333,0.267826667,0.347873333,0.376457143
372,311,,,,0.334486667,0.2053,0.9764,0.371233333,0.3929
373,102,,,,0.54741,0.427326667,0.48963,0.534666667,0.417961111
374,318,,,0.456288889,0.541208333,0.826033333,0.43086,,
375,444,,,0.363873333,0.310609524,0.553116667,0.4265,0.69467,
376,264,,0.32205,0.267633333,0.336219444,0.2173,,,
377,525,,,,0.411595238,0.377461111,0.388758333,0.4268,
378,389,,,0.459114286,0.327016667,0.43458,0.444946429,0.380285714,
379,208,,,,0.364916667,0.388566667,0.359616667,0.438066667,
380,235,,,0.473396429,0.327853571,0.34212,0.398753571,0.477516667,0.3179
381,413,,0.104166667,0.22313,0.5387,0.422316667,,0.6734,0.611466667
382,62,,0.280083333,0.313835556,0.333446667,0.327335714,0.388433333,0.49585,0.271166667
383,438,,,0.274833333,0.306461111,0.477363889,0.584891111,,
384,400,,,0.3056,0.442666667,,,0.256133333,0.666933333
385,547,,,0.31796,0.425380556,0.465086667,,0.326066667,
386,310,,,0.369904444,0.401875,0.459577778,0.396409524,0.472471429,0.6043
387,516,,,0.084833333,0.365757143,0.347513889,0.3193,0.571189286,
